date,year,NDVI,NDWI,EVI,total_mangrove_area_ha,total_carbon_stock_tonnes,total_CO2_absorption_tonnes_per_year
2020-07-14,2020,0.5415284828175683,-0.4428727206174234,0.3789800349661289,205105.1683015388,91682010.23078784,2051051.683015388
2020-07-21,2020,0.6137941063663811,-0.49560181012201754,0.47748003314077486,43680.36752978053,19525124.285811897,436803.67529780534
2020-07-28,2020,0.6825592459626584,-0.5558901861523692,0.5127526381282471,17161.66991564768,7671266.452294513,171616.6991564768
2020-08-04,2020,0.5813957217410469,-0.4727101271994819,0.4870676248127933,13382.94513046098,5982176.473316058,133829.4513046098
2020-08-11,2020,0.5738619018045359,-0.46705861510410135,0.48371146479337745,11363.766334209718,5079603.551391744,113637.66334209719
2020-08-18,2020,0.6357903509277841,-0.5141919192666112,0.540316730936497,167086.4106291446,74687625.55122764,1670864.1062914461
2020-08-25,2020,0.6095115923316695,-0.4971943693089468,0.5498611007032794,152260.1564358132,68060289.9268085,1522601.564358132
2020-09-01,2020,0.62832790153712,-0.5008327029785528,0.4714203117383562,441937.53032709006,197546076.05620927,4419375.303270901
2020-09-08,2020,0.6003824630304118,-0.4706439823082473,0.4512256435324681,301157.03328010265,134617193.8762059,3011570.3328010263
2020-09-15,2020,0.6794665635879588,-0.5395436189580861,0.5256142987396466,218122.32199934972,97500677.93370932,2181223.2199934972
2020-09-22,2020,0.6823210930998602,-0.5401898624815079,0.544813739077051,178913.13499269696,79974171.34173554,1789131.3499269695
2020-09-29,2020,0.6750754765651327,-0.5620199409236241,0.5150232684365723,217836.69031655524,97373000.5715002,2178366.9031655523
2020-10-06,2020,0.6655328868015353,-0.5373211708067744,658812947.4003167,530706.050992358,237225604.79358402,5307060.50992358
2020-10-13,2020,0.6674809841680934,-0.5468459882568414,0.47380488351850375,559469.566672371,250082896.30254984,5594695.66672371
2020-10-20,2020,0.6420787216930638,-0.5302491611075922,0.4544267925810068,587435.4419597592,262583642.55601236,5874354.419597592
2020-10-27,2020,0.7242521746774967,-0.6359551133592588,0.44308168407533527,655236.3746575569,292890659.47192794,6552363.746575569
2020-11-03,2020,0.729019505895801,-0.6381676818832828,0.43238104251580334,655011.7339828877,292790245.0903508,6550117.339828877
2020-11-10,2020,0.702274314582323,-0.6134703610175088,0.4223720569211033,652827.7362982637,291813998.12532383,6528277.362982636
2020-11-17,2020,0.6241161869438142,-0.5374161970564747,0.4198752153574286,570468.7766063088,254999543.14302,5704687.766063088
2020-11-24,2020,0.6520182682562278,-0.5779783229734493,0.4022352203880448,575690.0894582416,257333469.987834,5756900.894582416
2020-12-01,2020,0.6133842396677285,-0.5208597155556237,0.4110078950142476,487087.5317049779,217728126.67212513,4870875.317049779
2020-12-08,2020,0.5769392037900901,-0.48158578686729175,0.41353581929932287,503761.68444895884,225181472.9486846,5037616.844489588
2020-12-15,2020,0.6147470759037001,-0.516692597919186,0.409122336822372,507305.02141905925,226765344.57431948,5073050.214190593
2020-12-22,2020,0.6476898445725381,-0.5604750576569942,0.38726058546475267,523808.9485724667,234142600.01189262,5238089.485724667
2020-12-29,2020,0.6293337846380985,-0.5318246840291617,0.3804618077914149,491427.70353287464,219668183.47919497,4914277.035328747
2021-01-05,2021,0.44740019115859436,-0.3532907748569832,0.3777595994624477,417260.35262624046,186515377.6239295,4172603.5262624044
2021-01-12,2021,0.44723484443900985,-0.3508610295991443,0.3954953725374218,388745.07479542523,173769048.43355507,3887450.747954252
2021-01-19,2021,0.5455341681796615,-0.44730082589065073,0.38167400014861125,455999.0796837056,203831588.6186164,4559990.796837056
2021-01-26,2021,0.5978894832589994,-0.5103459340127029,0.36839808375284594,519848.6553546818,232372348.94354275,5198486.553546818
2021-02-02,2021,0.5909848343767128,-0.5060484935132094,0.35990680053814966,513517.16997466556,229542174.9786755,5135171.699746655
2021-02-09,2021,0.46797530823923406,-0.375801835654943,0.33096279765492964,469895.3769041521,210043233.476156,4698953.7690415215
2021-02-16,2021,0.5439259774085818,-0.4593439187872338,0.32635341986644184,505251.6473806435,225847486.37914765,5052516.473806435
2021-02-23,2021,0.5682002040262887,-0.48108265527598837,0.34012196499199937,537891.8251814125,240437645.85609138,5378918.251814125
2021-03-02,2021,0.5346228266269191,-0.44873872411747445,0.3517800334747668,548519.2810450485,245188118.62713668,5485192.810450485
2021-03-09,2021,0.5303934399351813,-0.4519259984186539,0.35581008917310136,495961.5275627786,221694802.82056203,4959615.275627786
2021-03-16,2021,0.517661926317888,-0.44080415700549364,0.35431608651692786,480972.544069145,214994727.19890782,4809725.44069145
2021-03-23,2021,0.4919113288488056,-0.4177229614624148,0.3460387752776504,502073.7627496299,224426971.94908458,5020737.627496299
2021-03-30,2021,0.5055868343514317,-0.43210462335940797,0.3576150050671837,464665.2125131381,207705349.9933727,4646652.125131381
2021-04-06,2021,0.5419879762411974,-0.4766277776702521,0.34053043964279395,549120.2476132635,245456750.6831288,5491202.476132635
2021-04-13,2021,0.5437450092530969,-0.47664322021332123,0.3359701503191399,557390.6325107196,249153612.73229167,5573906.325107196
2021-04-20,2021,0.5384094493055613,-0.4730637106361396,0.3401461038778139,501771.50773938606,224291863.95950556,5017715.077393861
2021-04-27,2021,0.545244484749305,-0.45580348587594127,0.3670026085431467,376358.5088652458,168232253.46276486,3763585.088652458
2021-05-04,2021,0.5132889023927536,-0.4182940671093033,0.38615103563232106,326745.31136040436,146055154.17810073,3267453.1136040436
2021-05-11,2021,0.48748453847927314,-0.40361391446886585,0.3721756069484467,330876.75130894774,147901907.83509964,3308767.5130894776
2021-05-18,2021,0.5308774659143182,-0.4317076558801793,0.39046070960424095,76549.32029211563,34217546.170575686,765493.2029211563
2021-05-25,2021,0.46262298827409437,-0.3651128393674302,0.3785493832810103,356931.4771787295,159548370.29889208,3569314.771787295
2021-06-01,2021,0.46426704641883215,-0.36634695757326535,0.3787626740139073,357428.8921552283,159770714.79338706,3574288.9215522828
2021-06-15,2021,0.5482469532479055,-0.41311715927707543,0.4453465342809533,38296.957463418046,17118739.986147866,382969.57463418046
2021-06-22,2021,0.5460525037148634,-0.41554009963469096,0.42860367004134703,46466.49788456463,20770524.554400392,464664.9788456463
2021-06-29,2021,0.5316419896433318,-0.4248494300300174,0.3475036055626305,8659.268957236676,3870693.2238847944,86592.68957236677
2021-07-06,2021,0.5729055274859134,-0.4568523917397029,0.3847021929437454,261054.5271856425,116691373.6519822,2610545.2718564253
2021-07-13,2021,0.5729055274859134,-0.4568523917397029,0.38470219294374536,261054.52718564248,116691373.65198219,2610545.271856425
2021-07-27,2021,,,,0.0,0.0,0.0
2021-08-03,2021,0.5412293937277163,-0.42070986836791696,1446310371.7783911,43163.116876480635,19293913.243786845,431631.16876480635
2021-08-10,2021,0.6012680494550923,-0.48048646915579074,0.3761005727880523,268091.20838099445,119836770.14630452,2680912.0838099443
2021-08-17,2021,0.609495277849226,-0.4879759915236741,0.37132212034054896,268462.55305538984,120002761.21575926,2684625.5305538983
2021-08-24,2021,0.5897836728782287,-0.4569412854295542,0.488885693206793,11476.996312866771,5130217.351851447,114769.96312866772
2021-08-31,2021,0.5897836728782286,-0.4569412854295542,0.488885693206793,11476.996312866773,5130217.3518514475,114769.96312866773
2021-09-07,2021,0.5824163306427497,-0.471102726202132,0.4540282538261473,42529.969139314875,19010896.205273747,425299.69139314874
